concept_id,english_meaning,semantic_category,dialogue_type,chuukese_phrase,chuukese_ipa,pohnpeian_phrase,pohnpeian_ipa,linguistic_overlap
C005,One,numbers,statement,Ew,/ɛw/,Ehu,/ɛ.hu/,High (shared Proto-Micronesian root *ewu)
C006,Two,numbers,statement,Ruu,/ruː/,Riau,/ri.au/,High (shared Proto-Micronesian root *rua)
C007,Three,numbers,statement,Unungat,/u.nu.ŋat/,Silu,/si.lu/,Low (divergent roots and numeric classifiers)
C008,Four,numbers,statement,Ruanu,/ru.a.nu/,Pahieu,/pa.hi.ɛu/,Medium (different classifier suffix systems)
C009,Five,numbers,statement,Nimu,/ni.mu/,Limau,/li.mau/,High (phonetic shift: Chuukese n- to Pohnpeian l-)
C010,Six,numbers,statement,Wonou,/wɔ.nɔu/,Wenou,/wɛ.nɔu/,Very High (near-identical phonetic alignment)
C011,Seven,numbers,statement,Fisuu,/fi.suː/,Isuh,/i.suh/,High (cognates; characteristic f-drop in Pohnpeian)
C012,Eight,numbers,statement,Wanu,/wa.nu/,Waluh,/wa.luh/,High (phonetic shift: Chuukese n- to Pohnpeian l-)
C013,Nine,numbers,statement,Tiiw,/tiːw/,Duwah,/du.wah/,High (cognates with regular t/d voicing shift)
C014,Ten,numbers,statement,Engon,/ɛ.ŋɔn/,Aisek,/ai.sɛk/,Low (completely divergent counting system bases)
